alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.01,0.039,10,1,1.0,0.1,28.388863300391545,0.55
0.01,0.04,10,9,0.9760479041916168,0.9,18.37998585520141,0.9380239520958085
0.01,0.043,10,0,0.9846153846153847,0.0,27.67809759732802,0.49230769230769234
0.01,0.056,10,4,0.9577464788732394,0.4,13.39864476564524,0.6788732394366197
0.01,0.049,10,4,1.0,0.4,29.787896361061126,0.7
0.01,0.05,10,0,1.0,0.0,31.50606273235677,0.5
0.01,0.1,10,1,0.9811320754716981,0.1,22.15041132856758,0.5405660377358491
0.01,0.3,10,3,0.9951690821256038,0.3,30.465030393218946,0.6475845410628019
0.05,0.039,10,4,0.9491525423728814,0.4,15.531226686612396,0.6745762711864407
0.05,0.04,10,4,0.972972972972973,0.4,17.12585538897934,0.6864864864864866
0.05,0.043,10,7,0.9943820224719101,0.7,24.161938623258386,0.8471910112359551
0.05,0.056,10,10,0.9763779527559056,1.0,16.07733975526531,0.9881889763779528
0.05,0.049,10,2,0.9954128440366973,0.2,27.21944465659996,0.5977064220183487
0.05,0.05,10,3,0.9948717948717949,0.3,29.361859725401047,0.6474358974358975
0.05,0.1,10,4,1.0,0.4,28.274418583185366,0.7
0.05,0.3,10,4,0.9896907216494846,0.4,25.116197821808534,0.6948453608247422
0.2,0.039,10,2,1.0,0.2,30.787559364943696,0.6
0.2,0.04,10,2,0.9145299145299145,0.2,16.311888383079225,0.5572649572649573
0.2,0.043,10,0,1.0,0.0,26.74977891533839,0.5
0.2,0.056,10,8,1.0,0.8,24.47986494032688,0.9
0.2,0.049,10,1,0.9871244635193133,0.1,25.37796570559825,0.5435622317596567
0.2,0.05,10,3,0.9803921568627451,0.3,20.944561295221206,0.6401960784313725
0.2,0.1,10,3,1.0,0.3,33.57104209099303,0.65
0.2,0.3,10,4,1.0,0.4,33.305502496932704,0.7
0.3,0.039,10,2,1.0,0.2,34.589959966605946,0.6
0.3,0.04,10,1,0.9829059829059829,0.1,23.417807319475305,0.5414529914529914
0.3,0.043,10,3,1.0,0.3,32.06431523858116,0.65
0.3,0.056,10,0,0.9921568627450981,0.0,32.43828815857925,0.49607843137254903
0.3,0.049,10,1,0.9913419913419913,0.1,28.257289660489356,0.5456709956709956
0.3,0.05,10,1,0.9953051643192489,0.1,26.203769815531654,0.5476525821596244
0.3,0.1,10,8,0.9884393063583815,0.8,23.540043469105957,0.8942196531791908
0.3,0.3,10,0,1.0,0.0,34.210568068044026,0.5
0.73,0.039,10,5,0.9941520467836257,0.5,25.221713652001686,0.7470760233918128
0.73,0.04,10,7,1.0,0.7,25.31366158383664,0.85
0.73,0.043,10,0,0.996078431372549,0.0,30.082527391042117,0.4980392156862745
0.73,0.056,10,4,1.0,0.4,27.883212430818595,0.7
