alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.039,0.73,10,4,0.9732620320855615,0.4,21.968653975721637,0.6866310160427808
0.039,0.8,10,6,1.0,0.6,36.03037289571444,0.8
0.039,0.96,10,0,0.992,0.0,28.744095217308406,0.496
0.039,0.97,10,4,0.9882352941176471,0.4,19.722114324254655,0.6941176470588235
0.039,0.989,10,8,0.993006993006993,0.8,18.691899681439605,0.8965034965034966
0.039,0.99,10,4,0.9658536585365853,0.4,23.538866979485878,0.6829268292682926
0.039,0.991,10,5,1.0,0.5,27.148842897901982,0.75
0.04,0.73,10,4,0.8877005347593583,0.4,-0.7257875852679249,0.6438502673796791
0.04,0.8,10,2,1.0,0.2,31.313257247174516,0.6
0.04,0.96,10,3,0.9605911330049262,0.3,12.348072990152188,0.6302955665024631
0.04,0.97,10,6,1.0,0.6,27.05233792026105,0.8
0.04,0.989,10,1,0.9909502262443439,0.1,27.157053422043862,0.545475113122172
0.04,0.99,10,10,0.9869281045751634,1.0,24.917559925194478,0.9934640522875817
0.04,0.991,10,1,1.0,0.1,27.342139379309124,0.55
0.043,0.73,10,6,1.0,0.6,24.75320984983785,0.8
0.043,0.8,10,4,0.9953271028037384,0.4,29.780162596354604,0.6976635514018692
0.043,0.96,10,2,1.0,0.2,27.941261642285447,0.6
0.043,0.97,10,4,1.0,0.4,31.408691860029347,0.7
0.043,0.989,10,1,0.9956140350877193,0.1,27.625109513310377,0.5478070175438596
0.043,0.99,10,0,0.9925925925925926,0.0,29.19943880956734,0.4962962962962963
0.043,0.991,10,4,0.9789473684210527,0.4,22.696379486470196,0.6894736842105263
0.056,0.73,10,8,0.930635838150289,0.8,5.677528272620057,0.8653179190751445
0.056,0.8,10,2,0.9835390946502057,0.2,23.052624117642182,0.5917695473251029
0.056,0.96,10,5,1.0,0.5,30.655320150232768,0.75
0.056,0.97,10,0,0.9836734693877551,0.0,24.61326693716028,0.49183673469387756
0.056,0.989,10,8,1.0,0.8,25.294652417474996,0.9
0.056,0.99,10,1,1.0,0.1,35.5707075508433,0.55
0.056,0.991,10,1,1.0,0.1,30.312655040532757,0.55
0.049,0.73,10,5,0.9897959183673469,0.5,29.184116432194564,0.7448979591836735
0.049,0.8,10,2,1.0,0.2,30.950741200718152,0.6
0.049,0.96,10,0,0.9869565217391304,0.0,20.801518308597885,0.4934782608695652
0.049,0.97,10,2,0.9954128440366973,0.2,29.05213149339921,0.5977064220183487
0.049,0.989,10,7,1.0,0.7,24.296499185963842,0.85
0.049,0.99,10,0,1.0,0.0,30.572948485482755,0.5
0.049,0.991,10,6,1.0,0.6,23.296247833347184,0.8
0.05,0.73,10,3,0.9952380952380953,0.3,21.787790340749314,0.6476190476190476
0.05,0.8,10,10,0.992,1.0,20.826393458189482,0.996
0.05,0.96,10,0,1.0,0.0,32.96266716527047,0.5
0.05,0.97,10,9,1.0,0.9,23.89062997554995,0.95
0.05,0.989,10,3,1.0,0.3,27.546400796094154,0.65
0.05,0.99,10,7,1.0,0.7,28.142879636847717,0.85
0.05,0.991,10,9,0.9923076923076923,0.9,22.354001315484332,0.9461538461538461
0.1,0.73,10,5,0.9911894273127754,0.5,30.343163358995845,0.7455947136563876
0.1,0.8,10,2,1.0,0.2,28.072468738555962,0.6
0.1,0.96,10,7,1.0,0.7,21.83148177782607,0.85
0.1,0.97,10,5,0.9811320754716981,0.5,22.48643684477233,0.7405660377358491
0.1,0.989,10,0,1.0,0.0,33.33507490601345,0.5
0.1,0.99,10,6,0.9345238095238095,0.6,1.2439226285048584,0.7672619047619047
0.1,0.991,10,7,1.0,0.7,23.63847133786009,0.85
0.3,0.73,10,4,1.0,0.4,30.367452616150786,0.7
0.3,0.8,10,1,1.0,0.1,27.834563307692463,0.55
0.3,0.96,10,2,0.9868421052631579,0.2,21.197023446856186,0.593421052631579
0.3,0.97,10,0,1.0,0.0,32.20037880694324,0.5
0.3,0.989,10,7,0.9808917197452229,0.7,21.020468057155433,0.8404458598726114
0.3,0.99,10,6,0.9714285714285714,0.6,17.062937974734602,0.7857142857142857
0.3,0.991,10,2,0.9956709956709957,0.2,28.29227179199126,0.5978354978354978
0.2,0.73,10,0,0.990909090909091,0.0,18.657808151985385,0.4954545454545455
0.2,0.8,10,7,0.9949238578680203,0.7,29.279681785160342,0.8474619289340102
0.2,0.96,10,0,1.0,0.0,34.123781807867786,0.5
0.2,0.97,10,0,0.9911111111111112,0.0,26.237770629290946,0.4955555555555556
0.2,0.989,10,0,0.9866666666666667,0.0,24.768520766910452,0.49333333333333335
0.2,0.99,10,5,0.9940828402366864,0.5,26.684196485825805,0.7470414201183432
0.2,0.991,10,6,0.9947089947089947,0.6,26.663497643377905,0.7973544973544973
