trial,testing,parameters_epsilon,parameters_alpha,initial_deadline,final_deadline,net_reward,action-legal,action-minor_violation,action-major_violation,action-minor_accident,action-major_accident,success
1,False,0.95,0.5,30,0,17.002861550737855,26,4,0,0,0,0
2,False,0.8999999999999999,0.5,20,0,5.860600067209171,17,3,0,0,0,0
3,False,0.8499999999999999,0.5,25,0,29.71770729351487,24,1,0,0,0,0
4,False,0.7999999999999998,0.5,20,0,19.8738404817293,19,1,0,0,0,0
5,False,0.7499999999999998,0.5,20,3,27.253473395767525,17,0,0,0,0,1
6,False,0.6999999999999997,0.5,20,0,-2.577161499696547,18,1,0,1,0,0
7,False,0.6499999999999997,0.5,25,0,28.914435607679103,24,1,0,0,0,0
8,False,0.5999999999999996,0.5,25,0,37.8000613496614,25,0,0,0,0,0
9,False,0.5499999999999996,0.5,20,0,32.67271677599374,20,0,0,0,0,0
10,False,0.4999999999999996,0.5,20,0,26.01468279970437,20,0,0,0,0,0
11,False,0.4499999999999996,0.5,30,0,48.56577574515024,30,0,0,0,0,0
12,False,0.39999999999999963,0.5,20,0,24.325969052097243,20,0,0,0,0,0
13,False,0.34999999999999964,0.5,25,0,29.07234625054248,25,0,0,0,0,0
14,False,0.29999999999999966,0.5,30,16,25.118404687985752,14,0,0,0,0,1
15,False,0.24999999999999967,0.5,20,11,18.03716895096197,9,0,0,0,0,1
16,False,0.19999999999999968,0.5,20,15,-12.460633490369455,4,0,0,1,0,1
17,False,0.1499999999999997,0.5,20,2,29.407298032099714,18,0,0,0,0,1
18,False,0.09999999999999969,0.5,20,10,16.92963555372471,10,0,0,0,0,1
19,False,0.049999999999999684,0.5,25,5,37.38649721475311,20,0,0,0,0,1
20,False,-3.191891195797325e-16,0.5,20,0,31.687952825175067,20,0,0,0,0,0
1,True,0.0,0.0,30,1,45.333903191213516,29,0,0,0,0,1
2,True,0.0,0.0,20,11,17.26261413476404,9,0,0,0,0,1
3,True,0.0,0.0,20,0,10.736393166772341,19,0,0,1,0,0
4,True,0.0,0.0,25,13,21.442628862844728,12,0,0,0,0,1
5,True,0.0,0.0,20,0,11.658153800925286,19,0,0,1,0,0
6,True,0.0,0.0,25,7,30.759781659086848,18,0,0,0,0,1
7,True,0.0,0.0,35,3,7.43279344508448,30,0,0,2,0,1
8,True,0.0,0.0,20,5,24.340824968648434,15,0,0,0,0,1
9,True,0.0,0.0,20,12,-6.686559570505964,7,0,0,1,0,1
10,True,0.0,0.0,25,7,31.70347991262762,18,0,0,0,0,1
11,True,0.0,0.0,20,6,26.754797364899616,14,0,0,0,0,1
12,True,0.0,0.0,20,14,14.49576332380039,6,0,0,0,0,1
13,True,0.0,0.0,20,7,26.037753673084556,13,0,0,0,0,1
14,True,0.0,0.0,20,11,14.81462355147791,9,0,0,0,0,1
15,True,0.0,0.0,20,12,13.944915114871646,8,0,0,0,0,1
16,True,0.0,0.0,25,5,34.556783038297084,20,0,0,0,0,1
17,True,0.0,0.0,25,14,25.197472156883375,11,0,0,0,0,1
18,True,0.0,0.0,25,14,21.308301259306464,11,0,0,0,0,1
19,True,0.0,0.0,30,0,0.2682897799425932,28,0,0,2,0,0
20,True,0.0,0.0,25,8,35.51202089844938,17,0,0,0,0,1
21,True,0.0,0.0,20,10,17.638449037397688,10,0,0,0,0,1
22,True,0.0,0.0,20,9,19.39763523478877,11,0,0,0,0,1
23,True,0.0,0.0,25,10,29.94701252282585,15,0,0,0,0,1
24,True,0.0,0.0,20,3,-16.699226882315642,15,0,0,2,0,1
25,True,0.0,0.0,20,12,15.653541010855712,8,0,0,0,0,1
26,True,0.0,0.0,20,10,16.223256021498763,10,0,0,0,0,1
27,True,0.0,0.0,25,9,23.838659865628202,16,0,0,0,0,1
28,True,0.0,0.0,25,7,28.871726259277015,18,0,0,0,0,1
29,True,0.0,0.0,25,12,3.0938133448357843,12,0,0,1,0,1
30,True,0.0,0.0,30,13,31.266934436436003,17,0,0,0,0,1
31,True,0.0,0.0,25,7,37.04499448449569,18,0,0,0,0,1
32,True,0.0,0.0,20,4,29.76969636655096,16,0,0,0,0,1
33,True,0.0,0.0,20,0,36.097268111017414,20,0,0,0,0,0
34,True,0.0,0.0,20,9,22.22855182109518,11,0,0,0,0,1
35,True,0.0,0.0,25,8,30.085274888109893,17,0,0,0,0,1
36,True,0.0,0.0,30,5,36.10840088865596,25,0,0,0,0,1
37,True,0.0,0.0,20,2,30.38026026612453,18,0,0,0,0,1
38,True,0.0,0.0,20,10,-9.469471922073637,9,0,0,1,0,1
39,True,0.0,0.0,25,14,20.23333543606777,11,0,0,0,0,1
40,True,0.0,0.0,20,11,17.963155773407607,9,0,0,0,0,1
41,True,0.0,0.0,30,11,11.226182045529207,18,0,0,1,0,1
42,True,0.0,0.0,25,14,20.798635453318745,11,0,0,0,0,1
43,True,0.0,0.0,25,7,-7.795243508036691,16,0,0,2,0,1
44,True,0.0,0.0,25,19,13.305495824313038,6,0,0,0,0,1
45,True,0.0,0.0,35,17,14.302670242912283,17,0,0,1,0,1
46,True,0.0,0.0,20,13,12.789564771813579,7,0,0,0,0,1
47,True,0.0,0.0,25,13,20.462200270796504,12,0,0,0,0,1
48,True,0.0,0.0,20,4,27.55376461910796,16,0,0,0,0,1
49,True,0.0,0.0,20,6,27.609418112749776,14,0,0,0,0,1
50,True,0.0,0.0,25,10,21.86547525156047,15,0,0,0,0,1
