trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.96, 'e': 0.96}",20,0,-97.72719697975859,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.96, 'e': 0.9216}",20,6,20.000802522691746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.96, 'e': 0.8847359999999999}",25,0,-42.29426991476303,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.96, 'e': 0.8493465599999999}",20,16,7.649047320476731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.96, 'e': 0.8153726975999999}",20,0,7.732914671787167,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.96, 'e': 0.7827577896959999}",20,0,-8.764253842309621,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.96, 'e': 0.7514474781081598}",20,1,29.983860175341693,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.96, 'e': 0.7213895789838334}",25,8,27.928362887647026,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.96, 'e': 0.69253399582448}",25,7,36.560707316470065,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.96, 'e': 0.6648326359915008}",30,22,14.974609986735839,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.96, 'e': 0.6382393305518408}",20,13,13.463524750781781,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.96, 'e': 0.6127097573297671}",20,16,8.266466209981548,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.96, 'e': 0.5882013670365764}",25,0,43.708757973524875,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.96, 'e': 0.5646733123551133}",25,11,0.688292067379813,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.96, 'e': 0.5420863798609088}",20,0,31.91519628055853,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.96, 'e': 0.5204029246664724}",20,0,27.08110065920199,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.96, 'e': 0.49958680767981345}",20,0,29.64515490998995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.96, 'e': 0.4796033353726209}",25,12,22.37483347691738,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.96, 'e': 0.4604192019577161}",30,0,48.484655298824634,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.96, 'e': 0.4420024338794074}",20,5,22.826955240608655,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.96, 'e': 0.42432233652423107}",30,23,15.13382286930127,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.96, 'e': 0.4073494430632618}",20,0,27.8677258192129,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.96, 'e': 0.3910554653407313}",20,0,34.67282250105121,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.96, 'e': 0.3754132467271021}",20,12,14.441283862975045,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.96, 'e': 0.360396716858018}",20,0,26.862176227784783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.96, 'e': 0.34598084818369723}",20,0,27.602740926764977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.96, 'e': 0.33214161425634936}",25,0,9.095656827239681,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.96, 'e': 0.3188559496860954}",30,23,10.099220660805225,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
