trial,testing,parameters_epsilon,parameters_alpha,initial_deadline,final_deadline,net_reward,action-legal,action-minor_violation,action-major_violation,action-minor_accident,action-major_accident,success
1,False,1.0,0.5,20,0,-158.53210612605525,7,4,7,0,2,0
2,False,1.0,0.5,25,0,-90.70096068540336,17,2,4,1,1,0
3,False,1.0,0.5,30,0,-43.372966995646095,22,3,5,0,0,0
4,False,1.0,0.5,20,0,-128.5698079987988,12,2,3,1,2,0
5,False,1.0,0.5,25,0,-164.91377539219036,13,2,7,1,2,0
6,False,1.0,0.5,20,0,-65.72219720023476,12,1,7,0,0,0
7,False,1.0,0.5,25,0,-51.81839932210468,20,2,2,0,1,0
8,False,1.0,0.5,25,0,-113.08756744461934,17,2,4,0,2,0
9,False,1.0,0.5,20,0,-115.1799644889656,13,2,2,1,2,0
10,False,1.0,0.5,30,0,-114.64156244578187,18,5,5,1,1,0
11,False,1.0,0.5,20,0,-33.2137998577456,14,3,3,0,0,0
12,False,1.0,0.5,25,0,-122.69997395173272,12,1,11,1,0,0
13,False,1.0,0.5,35,0,-229.516220067829,23,1,6,1,4,0
14,False,1.0,0.5,30,0,-94.61060247981578,22,0,6,1,1,0
15,False,1.0,0.5,20,0,-127.33035415521506,12,2,3,1,2,0
16,False,1.0,0.5,35,0,-173.67718840275592,18,6,9,0,2,0
17,False,1.0,0.5,25,0,-208.7239985687445,12,2,7,1,3,0
18,False,1.0,0.5,30,0,-178.53864734777622,16,1,9,3,1,0
19,False,1.0,0.5,20,0,-103.40834499182711,10,3,4,3,0,0
20,False,1.0,0.5,20,0,-136.01821897697897,10,3,5,0,2,0
1,True,1.0,0.5,30,0,-138.20924067216623,19,4,4,1,2,0
2,True,1.0,0.5,25,0,-109.36866853181144,15,2,6,1,1,0
3,True,1.0,0.5,20,0,-162.43528180302388,11,3,2,1,3,0
4,True,1.0,0.5,20,0,-100.64907353759229,14,2,1,1,2,0
5,True,1.0,0.5,20,0,-70.43543465482064,11,4,4,1,0,0
6,True,1.0,0.5,25,0,-54.3215968365509,16,2,7,0,0,0
7,True,1.0,0.5,35,0,-121.28755374358232,22,6,4,2,1,0
8,True,1.0,0.5,25,0,-84.36215934678114,16,2,5,2,0,0
9,True,1.0,0.5,30,0,-140.85295313876378,19,2,7,0,2,0
10,True,1.0,0.5,20,0,-65.12495039123284,12,1,7,0,0,0
