trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.835391383951,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.08329947294773,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-262.3447711605054,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-245.88470249670362,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,9,-7.70523548249354,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.675255869134528,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.55724826286992,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.89557162138724,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.21146429035292,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.29349388673185,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,1,-96.92181015096818,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.4914047026459,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.16794265617139,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.482154282309935,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.00369400334185,"{0: 16, 1: 0, 2: 12, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.0322891611536,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.39813003074568,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,4,-181.31119152580825,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.9938348114244,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.0497728546752,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-286.26136393384706,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.35390282736071,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,5,-65.7625267623929,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.98369944889123,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.77587420817983,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.61607710818973,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,3,-67.9823929768953,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.646628587511,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,8,-94.03876489312246,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,14,-50.7372216885166,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
